0.00	X
0.27	B
0.48	E
0.69	B
1.11	A
1.19	B
1.34	C
1.62	G
1.69	C
1.83	B
1.90	F
2.11	B
2.18	H
2.25	C
2.32	B
2.67	C
2.81	B
3.02	F
3.09	B
3.51	C
3.58	B
3.86	C
3.93	B
4.28	X
4.51	B
4.62	X
4.89	B
4.98	C
5.19	B
5.47	H
5.75	C
5.83	G
6.04	C
6.11	B
6.25	A
6.33	C
6.44	B
6.51	C
6.58	B
6.93	C
7.18	E
7.25	F
7.56	G
7.63	B
7.77	A
7.85	C
7.99	B
8.55	A
8.63	B
8.81	A
8.92	C
9.07	B
9.14	C
9.42	B
10.47	F
10.54	B
10.82	E
10.96	B
11.03	F
11.17	C
11.24	B
11.45	G
11.52	B
12.64	E
12.78	B
12.85	A
12.93	C
13.04	B
13.11	C
13.39	B
13.95	C
14.09	B
14.16	A
14.24	B
14.37	A
14.45	B
14.72	E
14.79	B
15.42	E
15.49	F
15.56	B
15.77	E
15.98	B
16.68	G
16.75	B
16.89	C
16.96	G
17.03	E
17.10	B
17.24	C
17.31	B
17.38	A
17.47	C
17.53	G
17.58	E
17.65	X
17.69	X
